id,user_id,order_date,status
1,40,2026-05-11,shipped
2,325,2026-01-30,completed
3,272,2026-05-11,completed
4,100,2026-08-20,completed
5,398,2026-03-31,placed
6,180,2026-07-06,completed
7,491,2026-07-29,completed
8,331,2026-07-28,shipped
9,76,2026-03-02,completed
10,53,2026-02-07,completed
11,132,2026-02-20,completed
12,89,2026-06-04,completed
13,79,2026-07-14,placed
14,389,2026-06-17,completed
15,39,2026-02-15,completed
16,488,2026-07-17,completed
17,322,2026-05-07,completed
18,238,2026-07-13,completed
19,289,2026-07-14,return_pending
20,297,2026-04-25,completed
21,349,2026-08-25,completed
22,452,2026-05-25,completed
23,330,2026-06-12,shipped
24,320,2026-03-24,completed
25,443,2026-06-10,returned
26,162,2026-02-08,shipped
27,226,2026-01-18,completed
28,241,2026-04-24,completed
29,324,2026-03-19,completed
30,408,2026-03-12,return_pending
31,303,2026-01-15,completed
32,181,2026-05-10,completed
33,38,2026-03-21,return_pending
34,237,2026-04-26,completed
35,20,2026-01-15,completed
36,189,2026-08-01,completed
37,147,2026-01-20,completed
38,331,2026-08-10,completed
39,438,2026-01-24,completed
40,315,2026-06-02,returned
41,260,2026-04-09,completed
42,237,2026-05-29,completed
43,284,2026-07-22,shipped
44,379,2026-08-18,completed
45,22,2026-04-26,returned
46,466,2026-07-27,completed
47,293,2026-06-16,completed
48,97,2026-03-24,completed
49,310,2026-05-02,return_pending
50,257,2026-02-08,return_pending
51,491,2026-01-16,placed
52,231,2026-01-27,completed
53,416,2026-08-19,completed
54,429,2026-03-29,returned
55,366,2026-01-22,return_pending
56,259,2026-06-15,completed
57,89,2026-01-11,completed
58,127,2026-07-01,returned
59,225,2026-04-23,completed
60,269,2026-05-14,shipped
61,313,2026-02-10,returned
62,187,2026-04-06,completed
63,470,2026-03-14,completed
64,199,2026-04-15,returned
65,397,2026-03-28,return_pending
66,348,2026-06-03,completed
67,27,2026-07-22,completed
68,324,2026-06-15,shipped
69,172,2026-01-17,completed
70,169,2026-01-25,completed
71,286,2026-06-23,returned
72,198,2026-03-14,completed
73,130,2026-07-05,completed
74,437,2026-06-18,completed
75,494,2026-08-21,completed
76,309,2026-08-12,shipped
77,77,2026-03-27,completed
78,42,2026-05-30,returned
79,340,2026-02-06,shipped
80,470,2026-03-31,placed
81,159,2026-06-17,completed
82,358,2026-06-19,completed
83,201,2026-02-03,returned
84,305,2026-07-01,return_pending
